,imName,x,y
47,BAILa2014a_000003,1679,381
48,BAILa2014a_000003,1553,378
49,BAILa2014a_000003,1443,380
50,BAILa2014a_000003,1338,413
51,BAILa2014a_000003,1359,339
52,BAILa2014a_000003,1269,312
53,BAILa2014a_000003,1136,324
54,BAILa2014a_000003,1205,373
55,BAILa2014a_000003,1200,311
56,BAILa2014a_000003,1017,307
57,BAILa2014a_000003,871,252
58,BAILa2014a_000003,805,418
59,BAILa2014a_000003,932,378
60,BAILa2014a_000003,71,404
61,BAILa2014a_000003,111,329
62,BAILa2014a_000003,37,327
63,BAILa2014a_000003,428,347
64,BAILa2014a_000003,337,255
65,BAILa2014a_000003,245,293
66,BAILa2014a_000003,186,355
67,BAILa2014a_000003,163,447
68,BAILa2014a_000003,480,319
69,BAILa2014a_000003,449,258
70,BAILa2014a_000003,201,278
71,BAILa2014a_000003,114,280
72,BAILa2014a_000003,53,280
73,BAILa2014a_000003,84,289
74,BAILa2014a_000003,730,211
75,BAILa2014a_000003,708,238
76,BAILa2014a_000003,605,255
77,BAILa2014a_000003,584,326
78,BAILa2014a_000003,651,352
79,BAILa2014a_000003,539,396
80,BAILa2014a_000003,694,357
81,BAILa2014a_000003,781,327
82,BAILa2014a_000003,920,306
83,BAILa2014a_000003,1068,255
84,BAILa2014a_000003,1177,229
85,BAILa2014a_000003,1379,248
86,BAILa2014a_000003,1561,242
87,BAILa2014a_000003,1765,283
88,BAILa2014a_000003,1753,386
89,BAILa2014a_000003,1689,350
90,BAILa2014a_000003,1863,385
91,BAILa2014a_000003,1934,321
92,BAILa2014a_000003,2006,353
93,BAILa2014a_000003,1224,275
94,BAILa2014a_000003,943,270
95,BAILa2014a_000003,822,284
96,BAILa2014a_000003,753,263
97,BAILa2014a_000003,810,217
98,BAILa2014a_000003,401,289
99,BAILa2014a_000003,515,235
100,BAILa2014a_000003,543,276
101,BAILa2014a_000003,1354,229
102,BAILa2014a_000003,1439,240
103,BAILa2014a_000003,1607,322
104,BAILa2014a_000003,1665,281
105,BAILa2014a_000003,1190,265
106,BAILa2014a_000003,1007,342
107,BAILa2014a_000003,682,278
108,BAILa2014a_000003,383,360
109,BAILa2014a_000003,314,322
110,BAILa2014a_000003,2010,408
111,BAILa2014a_000003,2000,334
112,BAILa2014a_000003,1972,345
113,BAILa2014a_000003,2026,334
114,BAILa2014a_000003,1827,324
115,BAILa2014a_000003,1822,353
116,BAILa2014a_000003,1574,296
117,BAILa2014a_000003,897,247
0,BAILa2014a_000004,1340,1140
1,BAILa2014a_000004,914,1335
2,BAILa2014a_000004,192,1162
3,BAILa2014a_000004,35,904
4,BAILa2014a_000004,490,928
5,BAILa2014a_000004,404,741
6,BAILa2014a_000004,466,626
7,BAILa2014a_000004,820,613
8,BAILa2014a_000004,825,722
9,BAILa2014a_000004,933,896
10,BAILa2014a_000004,1298,850
11,BAILa2014a_000004,1216,687
12,BAILa2014a_000004,1443,645
13,BAILa2014a_000004,1598,791
14,BAILa2014a_000004,1950,869
15,BAILa2014a_000004,2031,1051
16,BAILa2014a_000004,1773,700
17,BAILa2014a_000004,1950,616
18,BAILa2014a_000004,1709,562
19,BAILa2014a_000004,1468,564
20,BAILa2014a_000004,1248,520
21,BAILa2014a_000004,1042,458
22,BAILa2014a_000004,441,412
23,BAILa2014a_000004,207,547
24,BAILa2014a_000004,288,325
25,BAILa2014a_000004,663,365
26,BAILa2014a_000004,869,557
27,BAILa2014a_000004,1221,375
28,BAILa2014a_000004,1135,232
29,BAILa2014a_000004,1965,409
30,BAILa2014a_000004,1546,456
0,BAILa2014a_000005,984,1334
1,BAILa2014a_000005,1943,1105
2,BAILa2014a_000005,151,1145
3,BAILa2014a_000005,11,895
4,BAILa2014a_000005,1881,938
5,BAILa2014a_000005,1979,802
6,BAILa2014a_000005,1015,713
7,BAILa2014a_000005,857,722
8,BAILa2014a_000005,601,719
9,BAILa2014a_000005,481,619
10,BAILa2014a_000005,227,499
11,BAILa2014a_000005,84,414
12,BAILa2014a_000005,322,392
13,BAILa2014a_000005,156,463
14,BAILa2014a_000005,478,470
15,BAILa2014a_000005,585,492
16,BAILa2014a_000005,643,361
17,BAILa2014a_000005,521,394
18,BAILa2014a_000005,803,421
19,BAILa2014a_000005,895,481
20,BAILa2014a_000005,1026,450
21,BAILa2014a_000005,1182,537
22,BAILa2014a_000005,1222,370
23,BAILa2014a_000005,1344,401
24,BAILa2014a_000005,1545,463
25,BAILa2014a_000005,1707,590
26,BAILa2014a_000005,1469,626
27,BAILa2014a_000005,1489,532
28,BAILa2014a_000005,2005,559
29,BAILa2014a_000005,1856,430
30,BAILa2014a_000005,1736,308
31,BAILa2014a_000005,1364,254
32,BAILa2014a_000005,1213,263
33,BAILa2014a_000005,1093,276
34,BAILa2014a_000005,1304,359
35,BAILa2014a_000005,699,245
36,BAILa2014a_000005,538,276
37,BAILa2014a_000005,216,259
38,BAILa2014a_000005,42,341
39,BAILa2014a_000005,928,886
40,BAILa2014a_000005,930,1060
41,BAILa2014a_000005,1235,837
42,BAILa2014a_000005,1602,804
43,BAILa2014a_000005,1162,421
44,BAILa2014a_000005,1525,390
45,BAILa2014a_000005,2003,430
46,BAILa2014a_000005,1901,341
47,BAILa2014a_000005,1200,314
48,BAILa2014a_000005,1010,341
49,BAILa2014a_000005,821,350
50,BAILa2014a_000005,414,432
51,BAILa2014a_000005,429,276
52,BAILa2014a_000005,302,285
53,BAILa2014a_000005,9,285
54,BAILa2014a_000005,167,308
55,BAILa2014a_000005,1001,263
56,BAILa2014a_000005,78,290
57,BAILa2014a_000005,879,281
58,BAILa2014a_000005,111,341
59,BAILa2014a_000005,1266,230
60,BAILa2014a_000005,1442,325
61,BAILa2014a_000005,1676,357
62,BAILa2014a_000005,797,252
63,BAILa2014a_000005,592,250
64,BAILa2014a_000005,850,227
65,BAILa2014a_000005,396,239
66,BAILa2014a_000005,1796,693
67,BAILa2014a_000005,351,274
68,BAILa2014a_000005,1807,450
69,BAILa2014a_000005,249,370
70,BAILa2014a_000005,343,317
71,BAILa2014a_000005,1663,290
72,BAILa2014a_000005,1985,345
73,BAILa2014a_000005,1818,317
74,BAILa2014a_000005,1738,386
75,BAILa2014a_000005,1832,359
76,BAILa2014a_000005,1939,403
77,BAILa2014a_000005,2032,448
78,BAILa2014a_000005,1611,430
79,BAILa2014a_000005,1651,397
80,BAILa2014a_000005,944,312
81,BAILa2014a_000005,1053,296
82,BAILa2014a_000005,627,285
83,BAILa2014a_000005,723,308
84,BAILa2014a_000005,946,261
85,BAILa2014a_000005,1124,243
86,BAILa2014a_000005,1200,232
87,BAILa2014a_000005,1171,276
88,BAILa2014a_000005,1257,299
89,BAILa2014a_000005,1556,292
90,BAILa2014a_000005,1614,294
91,BAILa2014a_000005,1616,381
92,BAILa2014a_000005,1952,642
93,BAILa2014a_000005,527,904
94,BAILa2014a_000005,1756,437
95,BAILa2014a_000005,830,588
96,BAILa2014a_000005,1204,673
97,BAILa2014a_000005,2001,486
0,BAILa2014a_000006,574,1475
1,BAILa2014a_000006,856,1340
2,BAILa2014a_000006,979,1033
3,BAILa2014a_000006,169,1193
4,BAILa2014a_000006,495,916
5,BAILa2014a_000006,868,891
6,BAILa2014a_000006,900,714
7,BAILa2014a_000006,458,737
8,BAILa2014a_000006,442,602
9,BAILa2014a_000006,882,586
10,BAILa2014a_000006,593,404
11,BAILa2014a_000006,889,535
12,BAILa2014a_000006,796,342
13,BAILa2014a_000006,1010,388
14,BAILa2014a_000006,835,404
15,BAILa2014a_000006,16,781
16,BAILa2014a_000006,181,525
17,BAILa2014a_000006,58,409
18,BAILa2014a_000006,444,272
19,BAILa2014a_000006,135,465
20,BAILa2014a_000006,400,435
21,BAILa2014a_000006,1275,847
22,BAILa2014a_000006,1524,777
23,BAILa2014a_000006,1789,909
24,BAILa2014a_000006,1982,863
25,BAILa2014a_000006,1915,625
26,BAILa2014a_000006,1738,565
27,BAILa2014a_000006,1445,621
28,BAILa2014a_000006,1235,681
29,BAILa2014a_000006,1845,707
30,BAILa2014a_000006,1477,549
31,BAILa2014a_000006,1189,518
32,BAILa2014a_000006,1049,460
33,BAILa2014a_000006,863,300
34,BAILa2014a_000006,1184,416
35,BAILa2014a_000006,1356,470
36,BAILa2014a_000006,1610,409
37,BAILa2014a_000006,1850,437
38,BAILa2014a_000006,2003,374
39,BAILa2014a_000006,2003,556
40,BAILa2014a_000006,1854,500
41,BAILa2014a_000006,1571,463
42,BAILa2014a_000006,1982,472
43,BAILa2014a_000006,1736,311
44,BAILa2014a_000006,1589,325
45,BAILa2014a_000006,1945,344
46,BAILa2014a_000006,1766,379
47,BAILa2014a_000006,1645,416
48,BAILa2014a_000006,1415,255
49,BAILa2014a_000006,1156,337
50,BAILa2014a_000006,1417,381
51,BAILa2014a_000006,1175,272
52,BAILa2014a_000006,1438,321
53,BAILa2014a_000006,1331,407
54,BAILa2014a_000006,1070,281
55,BAILa2014a_000006,944,395
56,BAILa2014a_000006,1210,325
57,BAILa2014a_000006,1049,304
58,BAILa2014a_000006,877,251
59,BAILa2014a_000006,540,332
60,BAILa2014a_000006,775,251
61,BAILa2014a_000006,963,325
62,BAILa2014a_000006,1303,332
63,BAILa2014a_000006,1671,386
64,BAILa2014a_000006,400,360
65,BAILa2014a_000006,128,314
66,BAILa2014a_000006,332,337
67,BAILa2014a_000006,640,363
68,BAILa2014a_000006,153,367
69,BAILa2014a_000006,540,402
70,BAILa2014a_000006,730,307
71,BAILa2014a_000006,346,276
72,BAILa2014a_000006,69,293
73,BAILa2014a_000006,21,293
74,BAILa2014a_000006,53,356
75,BAILa2014a_000006,479,314
76,BAILa2014a_000006,675,300
77,BAILa2014a_000006,1896,393
78,BAILa2014a_000006,1538,253
79,BAILa2014a_000006,1845,367
80,BAILa2014a_000006,1640,344
81,BAILa2014a_000006,1796,495
82,BAILa2014a_000006,1638,293
83,BAILa2014a_000006,1510,314
84,BAILa2014a_000006,2031,400
85,BAILa2014a_000006,1806,358
0,BAILa2014a_000011,823,1344
1,BAILa2014a_000011,1545,999
2,BAILa2014a_000011,1251,806
3,BAILa2014a_000011,895,863
4,BAILa2014a_000011,436,910
5,BAILa2014a_000011,497,752
6,BAILa2014a_000011,27,892
7,BAILa2014a_000011,181,716
8,BAILa2014a_000011,321,601
9,BAILa2014a_000011,849,601
10,BAILa2014a_000011,1240,698
11,BAILa2014a_000011,1441,633
12,BAILa2014a_000011,1599,799
13,BAILa2014a_000011,1983,1028
14,BAILa2014a_000011,1896,863
15,BAILa2014a_000011,1832,712
16,BAILa2014a_000011,1516,555
17,BAILa2014a_000011,870,720
18,BAILa2014a_000011,436,630
19,BAILa2014a_000011,38,461
20,BAILa2014a_000011,185,526
21,BAILa2014a_000011,418,465
22,BAILa2014a_000011,597,490
23,BAILa2014a_000011,841,404
24,BAILa2014a_000011,1035,483
25,BAILa2014a_000011,1251,537
26,BAILa2014a_000011,1552,468
27,BAILa2014a_000011,1742,626
28,BAILa2014a_000011,1559,755
29,BAILa2014a_000011,684,1495
30,BAILa2014a_000011,109,1147
31,BAILa2014a_000011,152,472
32,BAILa2014a_000011,511,404
33,BAILa2014a_000011,949,382
34,BAILa2014a_000011,1146,425
35,BAILa2014a_000011,1358,472
36,BAILa2014a_000011,1624,436
37,BAILa2014a_000011,1760,544
38,BAILa2014a_000011,282,393
39,BAILa2014a_000011,551,303
40,BAILa2014a_000011,949,271
41,BAILa2014a_000011,1193,371
42,BAILa2014a_000011,1365,404
43,BAILa2014a_000011,1853,454
44,BAILa2014a_000011,1947,641
45,BAILa2014a_000011,436,357
46,BAILa2014a_000011,1990,400
47,BAILa2014a_000011,906,504
48,BAILa2014a_000011,95,418
49,BAILa2014a_000011,264,282
50,BAILa2014a_000011,1003,404
51,BAILa2014a_000011,1337,332
52,BAILa2014a_000011,1724,533
53,BAILa2014a_000011,1990,486
54,BAILa2014a_000011,1448,386
55,BAILa2014a_000011,1735,321
56,BAILa2014a_000011,637,364
57,BAILa2014a_000011,16,310
58,BAILa2014a_000011,1373,246
59,BAILa2014a_000011,1595,361
60,BAILa2014a_000011,834,296
61,BAILa2014a_000011,371,275
62,BAILa2014a_000011,727,318
63,BAILa2014a_000011,439,253
64,BAILa2014a_000011,1430,389
65,BAILa2014a_000011,1825,504
66,BAILa2014a_000011,1556,379
67,BAILa2014a_000011,935,307
68,BAILa2014a_000011,1229,275
69,BAILa2014a_000011,95,293
70,BAILa2014a_000011,328,325
71,BAILa2014a_000011,131,339
72,BAILa2014a_000011,497,296
73,BAILa2014a_000011,795,321
74,BAILa2014a_000011,59,361
75,BAILa2014a_000011,221,303
76,BAILa2014a_000011,601,271
77,BAILa2014a_000011,1021,332
78,BAILa2014a_000011,1444,325
79,BAILa2014a_000011,1749,375
80,BAILa2014a_000011,698,260
81,BAILa2014a_000011,1868,382
82,BAILa2014a_000011,1050,253
83,BAILa2014a_000011,1276,235
84,BAILa2014a_000011,1656,350
85,BAILa2014a_000011,1057,303
86,BAILa2014a_000011,1577,296
87,BAILa2014a_000011,1100,271
88,BAILa2014a_000011,655,285
89,BAILa2014a_000011,1326,271
90,BAILa2014a_000011,1157,332
91,BAILa2014a_000011,770,260
92,BAILa2014a_000011,1200,321
93,BAILa2014a_000011,2040,565
94,BAILa2014a_000011,1785,429
95,BAILa2014a_000011,160,303
96,BAILa2014a_000011,1796,368
97,BAILa2014a_000011,1638,296
98,BAILa2014a_000011,56,289
99,BAILa2014a_000011,1157,267
0,BAILa2014a_000013,892,1341
1,BAILa2014a_000013,169,1241
2,BAILa2014a_000013,399,1073
3,BAILa2014a_000013,49,906
4,BAILa2014a_000013,156,776
5,BAILa2014a_000013,562,941
6,BAILa2014a_000013,514,758
7,BAILa2014a_000013,894,878
8,BAILa2014a_000013,1202,513
9,BAILa2014a_000013,944,380
10,BAILa2014a_000013,1545,480
11,BAILa2014a_000013,1445,675
12,BAILa2014a_000013,1285,811
13,BAILa2014a_000013,1685,863
14,BAILa2014a_000013,1240,871
15,BAILa2014a_000013,874,698
16,BAILa2014a_000013,1552,786
17,BAILa2014a_000013,1965,856
18,BAILa2014a_000013,1990,505
19,BAILa2014a_000013,1813,710
20,BAILa2014a_000013,1950,633
21,BAILa2014a_000013,1720,595
22,BAILa2014a_000013,1520,570
23,BAILa2014a_000013,1332,473
24,BAILa2014a_000013,1803,455
25,BAILa2014a_000013,1985,418
26,BAILa2014a_000013,1607,428
27,BAILa2014a_000013,1325,403
28,BAILa2014a_000013,1127,415
29,BAILa2014a_000013,894,513
30,BAILa2014a_000013,732,623
31,BAILa2014a_000013,459,633
32,BAILa2014a_000013,141,435
33,BAILa2014a_000013,374,470
34,BAILa2014a_000013,186,540
35,BAILa2014a_000013,517,388
36,BAILa2014a_000013,104,410
37,BAILa2014a_000013,672,328
38,BAILa2014a_000013,799,418
39,BAILa2014a_000013,834,575
40,BAILa2014a_000013,1022,435
41,BAILa2014a_000013,1037,310
42,BAILa2014a_000013,1207,370
43,BAILa2014a_000013,1425,410
44,BAILa2014a_000013,1260,290
45,BAILa2014a_000013,1112,230
46,BAILa2014a_000013,892,283
47,BAILa2014a_000013,777,343
48,BAILa2014a_000013,449,295
49,BAILa2014a_000013,234,293
50,BAILa2014a_000013,81,350
51,BAILa2014a_000013,364,285
52,BAILa2014a_000013,509,275
53,BAILa2014a_000013,724,268
54,BAILa2014a_000013,852,265
55,BAILa2014a_000013,1067,263
56,BAILa2014a_000013,1217,263
57,BAILa2014a_000013,1475,320
58,BAILa2014a_000013,1682,360
59,BAILa2014a_000013,1883,440
60,BAILa2014a_000013,1800,288
61,BAILa2014a_000013,1682,310
62,BAILa2014a_000013,2023,373
63,BAILa2014a_000013,1873,360
64,BAILa2014a_000013,1737,335
65,BAILa2014a_000013,1838,518
66,BAILa2014a_000013,1337,340
67,BAILa2014a_000013,912,255
68,BAILa2014a_000013,1327,275
69,BAILa2014a_000013,807,303
70,BAILa2014a_000013,602,255
71,BAILa2014a_000013,427,260
72,BAILa2014a_000013,562,345
73,BAILa2014a_000013,136,305
74,BAILa2014a_000013,1142,330
75,BAILa2014a_000013,1572,343
76,BAILa2014a_000013,1803,378
77,BAILa2014a_000013,1622,320
78,BAILa2014a_000013,1202,313
79,BAILa2014a_000013,44,295
80,BAILa2014a_000013,181,288
81,BAILa2014a_000013,339,328
82,BAILa2014a_000013,582,395
83,BAILa2014a_000013,1162,273
84,BAILa2014a_000013,1565,290
0,BAILa2014a_000015,1883,1395
1,BAILa2014a_000015,1782,901
2,BAILa2014a_000015,1975,861
3,BAILa2014a_000015,902,1361
4,BAILa2014a_000015,940,1046
5,BAILa2014a_000015,933,876
6,BAILa2014a_000015,1246,809
7,BAILa2014a_000015,1542,777
8,BAILa2014a_000015,1515,555
9,BAILa2014a_000015,1421,628
10,BAILa2014a_000015,1811,676
11,BAILa2014a_000015,1994,628
12,BAILa2014a_000015,1773,571
13,BAILa2014a_000015,1862,445
14,BAILa2014a_000015,1979,477
15,BAILa2014a_000015,1639,443
16,BAILa2014a_000015,1998,519
17,BAILa2014a_000015,1551,475
18,BAILa2014a_000015,2034,565
19,BAILa2014a_000015,2011,416
20,BAILa2014a_000015,1872,374
21,BAILa2014a_000015,1549,386
22,BAILa2014a_000015,1916,336
23,BAILa2014a_000015,1589,319
24,BAILa2014a_000015,1923,414
25,BAILa2014a_000015,1706,281
26,BAILa2014a_000015,1975,391
27,BAILa2014a_000015,1334,460
28,BAILa2014a_000015,1246,536
29,BAILa2014a_000015,1330,399
30,BAILa2014a_000015,1145,580
31,BAILa2014a_000015,1213,672
32,BAILa2014a_000015,849,727
33,BAILa2014a_000015,832,557
34,BAILa2014a_000015,912,382
35,BAILa2014a_000015,1017,454
36,BAILa2014a_000015,1110,223
37,BAILa2014a_000015,408,655
38,BAILa2014a_000015,654,424
39,BAILa2014a_000015,459,552
40,BAILa2014a_000015,503,916
41,BAILa2014a_000015,1414,378
42,BAILa2014a_000015,1255,212
43,BAILa2014a_000015,1439,328
44,BAILa2014a_000015,1171,235
45,BAILa2014a_000015,1481,294
46,BAILa2014a_000015,1139,216
47,BAILa2014a_000015,967,321
48,BAILa2014a_000015,1561,288
49,BAILa2014a_000015,1738,372
50,BAILa2014a_000015,1652,319
51,BAILa2014a_000015,1797,357
52,BAILa2014a_000015,1616,290
53,BAILa2014a_000015,2042,714
54,BAILa2014a_000015,1811,311
55,BAILa2014a_000015,181,760
56,BAILa2014a_000015,1818,275
57,BAILa2014a_000015,1376,260
58,BAILa2014a_000015,1763,309
59,BAILa2014a_000015,2002,355
60,BAILa2014a_000015,1881,330
61,BAILa2014a_000015,2038,361
62,BAILa2014a_000015,1811,487
63,BAILa2014a_000015,1089,397
64,BAILa2014a_000015,1736,534
65,BAILa2014a_000015,1778,441
66,BAILa2014a_000015,1324,326
67,BAILa2014a_000015,1805,407
68,BAILa2014a_000015,879,479
69,BAILa2014a_000015,975,252
70,BAILa2014a_000015,832,258
71,BAILa2014a_000015,1152,321
72,BAILa2014a_000015,515,445
73,BAILa2014a_000015,1152,416
74,BAILa2014a_000015,181,521
75,BAILa2014a_000015,1190,372
76,BAILa2014a_000015,1015,294
77,BAILa2014a_000015,1206,313
78,BAILa2014a_000015,893,302
79,BAILa2014a_000015,1221,263
80,BAILa2014a_000015,776,407
81,BAILa2014a_000015,1301,279
82,BAILa2014a_000015,809,361
83,BAILa2014a_000015,1095,288
84,BAILa2014a_000015,179,338
85,BAILa2014a_000015,778,340
86,BAILa2014a_000015,498,252
87,BAILa2014a_000015,759,311
88,BAILa2014a_000015,564,391
89,BAILa2014a_000015,389,355
90,BAILa2014a_000015,582,340
91,BAILa2014a_000015,188,464
92,BAILa2014a_000015,568,300
93,BAILa2014a_000015,366,296
94,BAILa2014a_000015,748,281
95,BAILa2014a_000015,639,273
96,BAILa2014a_000015,744,246
97,BAILa2014a_000015,324,344
98,BAILa2014a_000015,677,269
99,BAILa2014a_000015,85,401
100,BAILa2014a_000015,719,256
101,BAILa2014a_000015,906,271
102,BAILa2014a_000015,1620,374
103,BAILa2014a_000015,76,288
104,BAILa2014a_000015,1603,416
105,BAILa2014a_000015,1698,357
106,BAILa2014a_000015,477,305
107,BAILa2014a_000015,141,1164
108,BAILa2014a_000015,20,868
109,BAILa2014a_000015,248,311
110,BAILa2014a_000015,13,290
111,BAILa2014a_000015,221,344
112,BAILa2014a_000015,80,351
113,BAILa2014a_000015,213,319
114,BAILa2014a_000015,1053,258
115,BAILa2014a_000015,790,286
116,BAILa2014a_000015,648,237
117,BAILa2014a_000015,612,250
118,BAILa2014a_000015,570,267
119,BAILa2014a_000015,421,290
120,BAILa2014a_000015,125,334
121,BAILa2014a_000015,15,340
122,BAILa2014a_000015,43,298
123,BAILa2014a_000015,106,284
124,BAILa2014a_000015,1887,300
125,BAILa2014a_000015,1515,265
126,BAILa2014a_000015,633,359
127,BAILa2014a_000015,961,382
128,BAILa2014a_000015,1839,347
0,BAILa2014a_000016,898,1333
1,BAILa2014a_000016,115,1168
2,BAILa2014a_000016,24,885
3,BAILa2014a_000016,183,729
4,BAILa2014a_000016,78,297
5,BAILa2014a_000016,40,308
6,BAILa2014a_000016,5,289
7,BAILa2014a_000016,32,340
8,BAILa2014a_000016,137,291
9,BAILa2014a_000016,167,289
10,BAILa2014a_000016,169,316
11,BAILa2014a_000016,142,356
12,BAILa2014a_000016,88,405
13,BAILa2014a_000016,140,451
14,BAILa2014a_000016,175,526
15,BAILa2014a_000016,256,273
16,BAILa2014a_000016,229,305
17,BAILa2014a_000016,275,300
18,BAILa2014a_000016,210,335
19,BAILa2014a_000016,288,375
20,BAILa2014a_000016,323,321
21,BAILa2014a_000016,383,348
22,BAILa2014a_000016,356,275
23,BAILa2014a_000016,407,300
24,BAILa2014a_000016,464,310
25,BAILa2014a_000016,480,283
26,BAILa2014a_000016,477,890
27,BAILa2014a_000016,518,267
28,BAILa2014a_000016,561,275
29,BAILa2014a_000016,536,321
30,BAILa2014a_000016,588,335
31,BAILa2014a_000016,582,262
32,BAILa2014a_000016,642,270
33,BAILa2014a_000016,639,300
34,BAILa2014a_000016,685,273
35,BAILa2014a_000016,701,259
36,BAILa2014a_000016,706,321
37,BAILa2014a_000016,752,286
38,BAILa2014a_000016,741,235
39,BAILa2014a_000016,431,631
40,BAILa2014a_000016,723,305
41,BAILa2014a_000016,777,278
42,BAILa2014a_000016,814,248
43,BAILa2014a_000016,841,251
44,BAILa2014a_000016,822,308
45,BAILa2014a_000016,890,262
46,BAILa2014a_000016,920,240
47,BAILa2014a_000016,917,286
48,BAILa2014a_000016,1090,286
49,BAILa2014a_000016,1054,259
50,BAILa2014a_000016,1027,294
51,BAILa2014a_000016,1127,235
